hgncid,uniprot_id,protein_names,targetclass,go_function
KLRC2,P26717,NKG2-C type II integral membrane protein (CD159 antigen-like family member C) (NK cell receptor C) (NKG2-C-activating NK receptor) (CD antigen CD159c),Receptor_all_others,antigen binding; transmembrane signaling receptor activity; MHC protein complex binding; MHC class I protein complex binding; protein antigen binding
TTC14,Q96N46,Tetratricopeptide repeat protein 14 (TPR repeat protein 14),Other,NA
GNPDA2,Q8TDQ7,Glucosamine-6-phosphate isomerase 2 (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase 2) (GNPDA 2) (GlcN6P deaminase 2) (Glucosamine-6-phosphate isomerase SB52),Enzyme_all_others,"glucosamine-6-phosphate deaminase activity; isomerase activity; intramolecular oxidoreductase activity; intramolecular oxidoreductase activity, interconverting aldoses and ketoses; deaminase activity"
SMG6,Q86US8,Telomerase-binding protein EST1A (EC 3.1.-.-) (EST1-like protein A) (Ever shorter telomeres 1A) (Smg-6 homolog) (Telomerase subunit EST1A) (hSmg5/7a),Other,"nuclease activity; endonuclease activity; endoribonuclease activity; ribonuclease activity; hydrolase activity, acting on ester bonds; telomeric DNA binding; ribonucleoprotein complex binding; telomerase RNA binding; DNA polymerase binding; catalytic activity, acting on RNA"
LPIN2,Q92539,Phosphatidate phosphatase LPIN2 (EC 3.1.3.4) (Lipin-2),Transcriptional_Factor_all_others,"phosphatidate phosphatase activity; hydrolase activity, acting on ester bonds; phosphatase activity; phosphoric ester hydrolase activity"
CILP2,Q8IUL8,Cartilage intermediate layer protein 2 (CILP-2) [Cleaved into: Cartilage intermediate layer protein 2 C1; Cartilage intermediate layer protein 2 C2],Extracellular_all_others,NA
ZDHHC9,Q9Y397,Palmitoyltransferase ZDHHC9 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 9) (DHHC-9) (DHHC9) (Zinc finger protein 379) (Zinc finger protein 380),Enzyme_Transferase,"palmitoyltransferase activity; S-acyltransferase activity; transferase activity, transferring acyl groups; transferase activity, transferring acyl groups other than amino-acyl groups; protein-cysteine S-palmitoyltransferase activity; protein-cysteine S-acyltransferase activity; Ras palmitoyltransferase activity"
EOMES,O95936,Eomesodermin homolog (T-box brain protein 2) (T-brain-2) (TBR-2),Transcriptional_Factor_all_others,"""NA"""
SLITRK4,Q8IW52,SLIT and NTRK-like protein 4,Receptor_all_others,NA
CDPF1,Q6NVV7,Cysteine-rich DPF motif domain-containing protein 1,Receptor_all_others,NA
HS3ST1,O14792,Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1),Enzyme_Transferase,"sulfotransferase activity; [heparan sulfate]-glucosamine 3-sulfotransferase 1 activity; transferase activity, transferring sulfur-containing groups; heparan sulfate sulfotransferase activity"
SPDYE2,Q495Y8,Speedy protein E2,Other,NA
EZH1,Q92800,Histone-lysine N-methyltransferase EZH1 (EC 2.1.1.43) (ENX-2) (Enhancer of zeste homolog 1),Transcriptional_Factor_all_others,NA
TMCO1,Q9UM00,Calcium load-activated calcium channel (CLAC channel) (Transmembrane and coiled-coil domain-containing protein 1) (Transmembrane and coiled-coil domains protein 4) (Xenogeneic cross-immune protein PCIA3),Other,ion channel activity; cation channel activity; calcium channel activity; cation transmembrane transporter activity; calcium ion transmembrane transporter activity; channel activity; passive transmembrane transporter activity; substrate-specific channel activity; inorganic cation transmembrane transporter activity; metal ion transmembrane transporter activity
GALNT5,Q7Z7M9,Polypeptide N-acetylgalactosaminyltransferase 5 (EC 2.4.1.41) (Polypeptide Galnac transferase 5) (Galnac-T5) (pp-GaNTase 5) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-Galnac:polypeptide N-acetylgalactosaminyltransferase 5),Enzyme_Transferase,"polypeptide N-acetylgalactosaminyltransferase activity; UDP-glycosyltransferase activity; acetylgalactosaminyltransferase activity; transferase activity, transferring glycosyl groups; transferase activity, transferring hexosyl groups"
SSTR4,P31391,Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R),7TM_Group1,NA
MEGF8,Q7Z7M0,Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4),Other,NA
ARPIN,Q7Z6K5,Arpin (Arp2/3 inhibition protein),Other,"""NA"""
DVL1,O14640,Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1),Other,G protein-coupled receptor binding; frizzled binding; kinase binding; protein kinase binding
POC1A,Q8NBT0,POC1 centriolar protein homolog A (Pix2) (Proteome of centriole protein 1A) (WD repeat-containing protein 51A),Other,"""NA"""
TTC27,Q6P3X3,Tetratricopeptide repeat protein 27 (TPR repeat protein 27),Other,NA
CATSPER3,Q86XQ3,Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein),Ion Channel,NA
CSNK2B,P67870,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),Kinase_Protein,chromatin binding; protein kinase activity; protein serine/threonine kinase activity; transcription factor binding; protein domain specific binding
PHGR1,C9JFL3,"Proline, histidine and glycine-rich protein 1",Other,NA
IRF4,Q15306,Interferon regulatory factor 4 (IRF-4) (Lymphocyte-specific interferon regulatory factor) (LSIRF) (Multiple myeloma oncogene 1) (NF-EM5),Transcriptional_Factor_all_others,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; double-stranded DNA binding; transcription regulatory region DNA binding; sequence-specific double-stranded DNA binding"
POLR1D,P0DPB6,Dna-directed Rna polymerases I and III subunit RPAC2 (Rna polymerases I and III subunit AC2) (AC19) (Dna-directed Rna polymerase I subunit D) (Rna polymerase I 16 kDa subunit) (RPA16) (RPC16) (hRPA19),Enzyme_all_others,NA
BMP2K,Q9NSY1,BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1),Kinase_Protein,"""NA"""
MAPK8IP2,Q13387,C-Jun-amino-terminal kinase-interacting protein 2 (JIP-2) (JNK-interacting protein 2) (Islet-brain-2) (IB-2) (JNK MAP kinase scaffold protein 2) (Mitogen-activated protein kinase 8-interacting protein 2),Other,MAP-kinase scaffold activity; structural molecule activity; kinase binding; protein kinase binding; protein-containing complex scaffold activity; signaling adaptor activity; molecular adaptor activity
LYPLA1,O75608,Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I),Enzyme_all_others,"phospholipase activity; lysophospholipase activity; palmitoyl-(protein) hydrolase activity; lipase activity; hydrolase activity, acting on ester bonds; thiolester hydrolase activity; carboxylic ester hydrolase activity; palmitoyl hydrolase activity"
MAML3,Q96JK9,Mastermind-like protein 3 (Mam-3),Transcriptional_Factor_all_others,transcription coregulator activity; transcription coactivator activity
COMMD7,Q86VX2,COMM domain-containing protein 7,Other,transcription factor binding; NF-kappaB binding
GPR171,O14626,Probable G-protein coupled receptor 171 (G-protein coupled receptor H963),7TM_Group1,NA
TM9SF4,Q92544,Transmembrane 9 superfamily member 4 (Tumor cannibalism associated protein 1),Other,"""NA"""
RUBCNL,Q9H714,Protein RUBCNL-like,Transcriptional_Factor_all_others,"""NA"""
METTL1,Q9UBP6,tRna (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (Methyltransferase-like protein 1) (tRna (guanine(46)-N(7))-methyltransferase) (tRna(m7G46)-methyltransferase),Enzyme_Transferase,"methyltransferase activity; RNA methyltransferase activity; tRNA methyltransferase activity; tRNA (guanine-N7-)-methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; tRNA (guanine) methyltransferase activity; transferase activity, transferring one-carbon groups; catalytic activity, acting on RNA; catalytic activity, acting on a tRNA"
TMEM110-MUSTN1,A8MSY1,"""NA""",Other,"""NA"""
CALHM2,Q9HA72,Calcium homeostasis modulator protein 2 (Protein FAM26B),Other,NA
RILPL1,Q5EBL4,RILP-like protein 1 (Rab-interacting lysosomal-like protein 1),Other,"""NA"""
USP7,Q93009,Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7),Protease,"p53 binding; thiol-dependent ubiquitin-specific protease activity; protein C-terminus binding; transcription factor binding; peptidase activity; cysteine-type peptidase activity; ubiquitin-like protein-specific protease activity; ubiquitin protein ligase binding; thiol-dependent ubiquitinyl hydrolase activity; ubiquitin-like protein ligase binding; peptidase activity, acting on L-amino acid peptides; ubiquitinyl hydrolase activity; Lys48-specific deubiquitinase activity"
HFM1,A2PYH4,Probable ATP-dependent Dna helicase HFM1 (EC 3.6.4.12) (SEC63 domain-containing protein 1),Enzyme_all_others,NA
COMMD10,Q9Y6G5,COMM domain-containing protein 10,Other,NA
NME6,O75414,Nucleoside diphosphate kinase 6 (NDK 6) (NDP kinase 6) (EC 2.7.4.6) (Inhibitor of p53-induced apoptosis-alpha) (IPIA-alpha) (nm23-H6),Enzyme_all_others,"nucleoside diphosphate kinase activity; phosphotransferase activity, phosphate group as acceptor; nucleobase-containing compound kinase activity"
VDR,P11473,"Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)",Nuclear Receptor,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; double-stranded DNA binding; nuclear receptor activity; steroid binding; vitamin D binding; transcription factor binding; drug binding; lipid binding; calcitriol receptor activity; vitamin binding; carboxylic acid binding; bile acid binding; monocarboxylic acid binding; nuclear hormone receptor binding; bile acid receptor activity; lithocholic acid receptor activity; hormone binding; retinoic acid receptor binding; organic acid binding; transcription regulatory region DNA binding; retinoid X receptor binding; hormone receptor binding; vitamin D response element binding; transcription factor activity, direct ligand regulated sequence-specific DNA binding; calcitriol binding; lithocholic acid binding; D3 vitamins binding; sequence-specific double-stranded DNA binding"
SLCO6A1,Q86UG4,Solute carrier organic anion transporter family member 6A1 (Cancer/testis antigen 48) (CT48) (Gonad-specific transporter) (GST) (Organic anion-transporting polypeptide 6A1) (Organic anion-transporting polypeptide I) (OATP-I) (Solute carrier family 21 member 19),Transporter,"""NA"""
LRRC37B,Q96QE4,Leucine-rich repeat-containing protein 37B (C66 SLIT-like testicular protein),Other,NA
ZNF764,Q96H86,Zinc finger protein 764,Transcriptional_Factor_all_others,NA
MFAP3,P55082,Microfibril-associated glycoprotein 3,Receptor_all_others,NA
PARP12,Q9H0J9,Poly [ADP-ribose] polymerase 12 (PARP-12) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 12) (ARTD12) (Zinc finger CCCH domain-containing protein 1),Enzyme_all_others,NA
SCNM1,Q9BWG6,Sodium channel modifier 1,Transcriptional_Factor_all_others,"""NA"""
CH25H,O95992,Cholesterol 25-hydroxylase (EC 1.14.99.38) (Cholesterol 25-monooxygenase) (h25OH),Enzyme_all_others,monooxygenase activity; steroid hydroxylase activity; oxidoreductase activity
AHRR,A9YTQ3,Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77),Transcriptional_Factor_all_others,NA
PGA5,P0DJD9,Pepsin A-5 (EC 3.4.23.1) (Pepsinogen-5),Protease,peptidase activity
ZNF438,Q7Z4V0,Zinc finger protein 438,Transcriptional_Factor_all_others,NA
MRPL30,Q8TCC3,"39S ribosomal protein L30, mitochondrial (L30mt) (MRP-L30) (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28) (Mitochondrial large ribosomal subunit protein uL30m)",Other,NA
BCL7C,Q8WUZ0,B-cell CLL/lymphoma 7 protein family member C,Other,NA
SLC16A2,P36021,Monocarboxylate transporter 8 (MCT 8) (Monocarboxylate transporter 7) (MCT 7) (Solute carrier family 16 member 2) (X-linked PEST-containing transporter),Transporter,organic acid transmembrane transporter activity; monocarboxylic acid transmembrane transporter activity; anion transmembrane transporter activity; organic anion transmembrane transporter activity; secondary active transmembrane transporter activity; thyroid hormone transmembrane transporter activity; active transmembrane transporter activity; carboxylic acid transmembrane transporter activity
USP2,O75604,Ubiquitin carboxyl-terminal hydrolase 2 (EC 3.4.19.12) (41 kDa ubiquitin-specific protease) (Deubiquitinating enzyme 2) (Ubiquitin thioesterase 2) (Ubiquitin-specific-processing protease 2),Protease,"endopeptidase activity; cysteine-type endopeptidase activity; thiol-dependent ubiquitin-specific protease activity; peptidase activity; cysteine-type peptidase activity; ubiquitin-like protein-specific protease activity; cyclin binding; ubiquitin protein ligase binding; thiol-dependent ubiquitinyl hydrolase activity; ubiquitin-like protein ligase binding; peptidase activity, acting on L-amino acid peptides; ubiquitinyl hydrolase activity"
PAAF1,Q9BRP4,Proteasomal ATPase-associated factor 1 (Protein G-16) (WD repeat-containing protein 71),Other,NA
MCM8,Q9UJA3,Dna helicase MCM8 (EC 3.6.4.12) (Minichromosome maintenance 8),Enzyme_all_others,chromatin binding; mismatch repair complex binding; MutLbeta complex binding; MutSalpha complex binding; MutSbeta complex binding
C1orf147,Q96MC9,"""NA""",Other,"""NA"""
SLC25A30,Q5SVS4,Kidney mitochondrial carrier protein 1 (Solute carrier family 25 member 30),Transporter,NA
KRTAP5-1,Q6L8H4,"Keratin-associated protein 5-1 (Keratin, cuticle, ultrahigh sulphur 1-like) (Keratin-associated protein 5.1) (Ultrahigh sulfur keratin-associated protein 5.1)",Other,NA
SLC23A3,Q6PIS1,Solute carrier family 23 member 3 (HPC E2-binding protein 3) (na(+)/L-ascorbic acid transporter 3) (Sodium-dependent vitamin C transporter 3),Transporter,NA
ALPL,P05186,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TnaP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)",Enzyme_all_others,"pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
SLC30A4,O14863,Zinc transporter 4 (ZnT-4) (Solute carrier family 30 member 4),Transporter,NA
RCC1,P18754,Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1),Other,chromatin binding; guanyl-nucleotide exchange factor activity; Ran guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; Ran GTPase binding; Ras GTPase binding; small GTPase binding; chromatin DNA binding; nucleosome binding; nucleosomal DNA binding; histone binding; sulfate binding; protein heterodimerization activity; GTPase binding; sulfur compound binding
BPIFB2,Q8N4F0,"BPI fold-containing family B member 2 (Bactericidal/permeability-increasing protein-like 1) (BPI-like 1) (Long palate, lung and nasal epithelium carcinoma-associated protein 2) (RYSR)",Extracellular_all_others,NA
LINC01550,"""NA""","""NA""","""NA""","""NA"""
ZFHX3,Q15911,Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3),Transcriptional_Factor_all_others,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; double-stranded DNA binding; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding; transcription regulatory region DNA binding; sequence-specific double-stranded DNA binding"
C9orf139,Q6ZV77,Uncharacterized protein C9orf139,Other,NA
ACSL1,P33121,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2),Enzyme_all_others,"long-chain fatty acid-CoA ligase activity; fatty acid ligase activity; CoA-ligase activity; ligase activity; ligase activity, forming carbon-sulfur bonds; acid-thiol ligase activity"
PRDM11,Q9NQV5,PR domain-containing protein 11 (EC 2.1.1.-),Other,core promoter binding; regulatory region nucleic acid binding; transcription regulatory region DNA binding
CCDC17,Q96LX7,Coiled-coil domain-containing protein 17,Other,"""NA"""
HNF4G,Q14541,Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2),Nuclear Receptor,transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; double-stranded DNA binding; transcription regulatory region DNA binding; sequence-specific double-stranded DNA binding
ANKS6,Q68DC2,Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6),Other,NA
SFN,P31947,14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin),Extracellular_all_others,enzyme inhibitor activity; protein kinase inhibitor activity; protein kinase C inhibitor activity; kinase regulator activity; kinase inhibitor activity; protein kinase regulator activity; enzyme regulator activity; protein serine/threonine kinase inhibitor activity
NXPH4,O95158,Neurexophilin-4,Extracellular_all_others,NA
TPRX1,Q8N7U7,Tetra-peptide repeat homeobox protein 1,Transcriptional_Factor_all_others,NA
CAMK2A,Q9UQM7,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17),Kinase_Protein,protein kinase activity; protein serine/threonine kinase activity; guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; calmodulin binding; Ras GTPase binding; small GTPase binding; GTPase binding
MBTPS1,Q14703,Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Subtilisin/kexin-isozyme 1) (SKI-1),Protease,"endopeptidase activity; metalloendopeptidase activity; serine-type endopeptidase activity; peptidase activity; serine-type peptidase activity; metallopeptidase activity; serine hydrolase activity; peptidase activity, acting on L-amino acid peptides"
TM4SF18,Q96CE8,Transmembrane 4 L6 family member 18,Other,NA
HSDL1,Q3SXM5,Inactive hydroxysteroid dehydrogenase-like protein 1 (Short chain dehydrogenase/reductase family 12C member 3),Enzyme_all_others,NA
NXPH4,O95158,Neurexophilin-4,Extracellular_all_others,"""NA"""
SNX33,Q8WV41,Sorting nexin-33 (SH3 and PX domain-containing protein 3),Other,"""NA"""
LPAR2,Q9HBW0,Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4),7TM_Group1,transmembrane signaling receptor activity; G protein-coupled receptor activity; lipid binding
EML3,Q32P44,Echinoderm microtubule-associated protein-like 3 (EMAP-3),Other,"""NA"""
TSKU,Q8WUA8,Tsukushin (Tsukushi) (E2-induced gene 4 protein) (Leucine-rich repeat-containing protein 54),Extracellular_all_others,"""NA"""
RNF103,O00237,E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (hKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103 homolog) (Zfp-103),Transcriptional_Factor_all_others,ubiquitin-protein transferase activity; ubiquitin-like protein transferase activity; ubiquitin protein ligase activity; ubiquitin-like protein ligase activity
RND2,P52198,Rho-related GTP-binding protein RhoN (Rho family GTPase 2) (Rho-related GTP-binding protein Rho7) (Rnd2),Enzyme_all_others,NA
RHOH,Q15669,Rho-related GTP-binding protein RhoH (GTP-binding protein TTF) (Translocation three four protein),Other,nucleotide binding; nucleoside binding; purine nucleoside binding; enzyme inhibitor activity; GTP binding; purine nucleotide binding; guanyl nucleotide binding; kinase regulator activity; kinase inhibitor activity; enzyme regulator activity; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; purine ribonucleoside triphosphate binding; carbohydrate derivative binding; nucleoside phosphate binding
AIMP2,Q13155,Aminoacyl tRna synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Other,NA
ZNF710,Q8N1W2,Zinc finger protein 710,Transcriptional_Factor_all_others,"""NA"""
CDC14B,O60729,Dual specificity protein phosphatase CDC14B (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog B),Enzyme_all_others,"phosphoprotein phosphatase activity; protein serine/threonine phosphatase activity; protein tyrosine phosphatase activity; hydrolase activity, acting on ester bonds; phosphatase activity; phosphoric ester hydrolase activity"
DZIP3,Q86Y13,E3 ubiquitin-protein ligase DZIP3 (EC 2.3.2.27) (DAZ-interacting protein 3) (RING-type E3 ubiquitin transferase DZIP3) (Rna-binding ubiquitin ligase of 138 kDa) (hRUL138),Transcriptional_Factor_all_others,ubiquitin-protein transferase activity; ubiquitin-like protein transferase activity; phosphatase binding; polyubiquitin modification-dependent protein binding; modification-dependent protein binding
